zpid,numOfPrimarySchools,numOfElementarySchools,numOfMiddleSchools,numOfHighSchools,avgSchoolDistance,avgSchoolRating,avgSchoolSize,MedianStudentsPerTeacher
111373431,1,0,1,1,1.2666666666666668,2.6666666666666665,1063,14
120900430,1,0,1,1,1.4,2.6666666666666665,1063,14
2084491383,0,2,1,1,1.2,3.0,1108,14
120901374,1,0,1,1,1.4,2.6666666666666665,1063,14
60134862,1,0,1,1,1.1333333333333335,4.0,1223,14
2080105342,1,0,1,1,1.0666666666666669,4.0,1223,14
241932337,1,0,1,1,1.2333333333333334,3.6666666666666665,1051,12
60134835,1,0,1,1,1.1666666666666667,4.0,1223,14
60134833,1,0,1,1,1.1666666666666667,4.0,1223,14
83827468,1,0,1,1,1.2,3.0,1615,14
241932327,1,0,1,1,1.2,3.6666666666666665,1051,12
241930967,1,0,1,1,1.2,3.0,1615,14
69808966,1,0,1,1,0.6333333333333333,3.333333333333333,1626,14
64520966,1,0,1,1,1.8333333333333333,3.0,1615,14
29470450,1,0,1,1,1.4666666666666668,3.0,1615,14
70341946,1,0,1,1,0.5666666666666667,3.333333333333333,1626,14
88013985,1,0,1,1,1.933333333333333,8.333333333333334,1481,16
70344594,1,0,1,1,2.4333333333333336,2.6666666666666665,1478,13
185217484,1,0,1,1,1.9,8.333333333333334,1481,16
116080981,1,0,1,1,3.2999999999999994,7.666666666666668,1259,14
29462564,1,0,1,1,1.8,3.0,1457,13
70355992,1,0,1,1,1.9666666666666668,3.0,1457,13
89659978,1,0,1,1,2.0333333333333337,8.333333333333334,1481,16
70355990,1,0,1,1,1.9666666666666668,3.0,1457,13
241932966,1,0,1,1,2.9,3.6666666666666665,1532,12
116080975,1,0,1,1,3.3000000000000003,7.666666666666668,1259,14
145656987,1,0,1,1,1.9333333333333336,3.0,1457,13
29462467,1,0,1,1,1.7666666666666666,3.0,1457,13
89548387,1,0,1,1,3.266666666666667,3.0,1457,13
241932964,1,0,1,1,2.9,3.6666666666666665,1532,12
29376494,1,0,1,1,1.2333333333333332,8.0,1275,15
69808963,1,0,1,1,1.9,3.0,1457,13
185217474,1,0,1,1,2.0,8.333333333333334,1481,16
145657963,1,0,1,1,3.1333333333333333,3.6666666666666665,1532,12
29370494,1,0,1,1,1.1666666666666667,9.0,1616,16
89548844,1,0,1,1,3.3000000000000003,3.0,1457,13
125901465,1,0,1,1,1.9,3.0,1457,13
63228462,1,0,1,1,1.8333333333333333,3.0,1457,13
96639474,1,0,1,1,2.3000000000000003,6.0,1228,14
89547842,1,0,1,1,3.333333333333333,3.0,1457,13
251030464,1,0,1,1,2.2,2.6666666666666665,1478,13
29376491,1,0,1,1,1.2333333333333334,8.0,1275,15
241932962,1,0,1,1,2.9,3.6666666666666665,1532,12
70355962,1,0,1,1,1.8666666666666665,3.0,1457,13
29376490,1,0,1,1,1.2333333333333334,8.0,1275,15
